business_type,percentage(%),Abbreviation
infra-node,27.00,K8s Node
generic-unknown,10.32,Unknown
infra-database,8.19,DB
infra-message-queue,7.86,MQ
dev-test-env,7.27,Dev/Test
game-service,5.55,Gaming
media-video-streaming,4.73,Video
compute-simulation,4.24,HPC/Sim
infra-logging-monitoring,3.38,Monitor
data-collection-delivery,3.00,Data/CDN
office-system,2.88,OA/ERP
generic-autoscaling,2.45,ASG
infra-coordination,2.20,Coord
ai-machine-learning,2.01,AI/ML
iot-saas-platform,1.99,IoT/SaaS
finance-payment,1.15,Fin/Pay
education-learning,1.09,Edu
infra-jumpbox,0.96,Jumpbox
corp-website-portal,0.79,Corp Web
infra-cache,0.68,Cache
ecommerce-retail,0.55,E-comm
community-social-forum,0.43,Social
travel-hospitality,0.41,Travel
gov-public-service,0.31,Gov/Public
logistics-mobility,0.22,Logistics
media-news-portal,0.17,News
local-service-delivery,0.12,O2O/Local
infra-cloud-function,0.07,Serverless
